time;logger;level;message;exception
2012-05-05 18:05:19.5501;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 because: PUT INDEX Raven/DocumentsByEntityName;
2012-05-05 18:05:19.5501;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work;
2012-05-05 18:05:19.5821;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000;
2012-05-05 18:05:19.5921;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;After read triggers executed, 1 documents remained;
2012-05-05 18:05:19.5921;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000000-0000-0000-0000-000000000000;
2012-05-05 18:05:19.6081;Raven.Database.Indexing.AbstractIndexingExecuter;Debug;Indexing 1 documents for index: Raven/DocumentsByEntityName. (RavenDB/ISEL);
2012-05-05 18:05:19.7161;Raven.Database.Indexing.Index.Indexing;Debug;"Indexing on RavenDB/ISEL result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: ravendb/isel
	Tag I-: Presentations
	LastModified I-: 20120505170417210
";
2012-05-05 18:05:19.8581;Raven.Database.Indexing.Index.Indexing;Debug;Indexed 3 documents for Raven/DocumentsByEntityName;
2012-05-05 18:05:19.8581;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 3 because: WORK BY IndexingExecuter;
2012-05-05 18:05:19.8581;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work;
2012-05-05 18:05:19.8581;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 3, for: IndexingExecuter, will wait for additional work;
